,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Since 2012,Snap % Range,<40%,40.01-50%,50.01-60%,60.01-70%,70.01-80%,80.01-90%,>90%,,,,,,,,,,,,,,,
,# Top 10 RB finishes,1,6,18,33,28,14,4,,,,,,,,,,,,,,,
,# Top 20 RB finishes,7,26,47,60,42,16,4,,,,,,,,,,,,,,,
,# of RBs,667,160,110,86,49,17,4,,,,,,,,,,,,,,,
,Percent Top 10,0.15%,3.75%,16.36%,38.37%,57.14%,82.35%,100.00%,,,,,,,,,,,,,,,
,Percent Top 20,1.05%,16.25%,42.73%,69.77%,85.71%,94.12%,100.00%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Since 2002,Age,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,,,,
,1-4 Games Played,1,8,65,95,110,77,59,30,19,18,21,15,5,4,4,2,2,0,,,,
,5-8 Games Played,1,15,48,81,78,63,61,37,33,26,11,8,8,3,0,1,1,0,,,,
,9-12 Games Played,0,18,52,69,77,65,51,48,35,27,18,9,8,2,1,0,0,0,,,,
,13+ Games Played,1,47,102,154,147,121,122,110,88,63,40,35,17,11,5,3,1,1,,,,
,# of Players ,3,88,267,399,412,326,293,225,175,134,90,67,38,20,10,6,4,1,,,,
,% Played 1-4,33.33%,9.09%,24.34%,23.81%,26.70%,23.62%,20.14%,13.33%,10.86%,13.43%,23.33%,22.39%,13.16%,20.00%,40.00%,33.33%,50.00%,0.00%,,,,
,% Played 5-8,33.33%,17.05%,17.98%,20.30%,18.93%,19.33%,20.82%,16.44%,18.86%,19.40%,12.22%,11.94%,21.05%,15.00%,0.00%,16.67%,25.00%,0.00%,,,,
